Datetime,Symbol,Open,High,Low,Close,Volume,Market Cap
2018-02-27,BTC,10321.00000000,10870.00000000,10121.00000000,10569.04000000,30705.38512300,324295371.14146575
2018-02-28,BTC,10584.33000000,11098.00000000,10300.00000000,10326.76000000,30800.98378200,327914696.13067525
2018-03-01,BTC,10325.64000000,11060.41000000,10240.00000000,10920.00000000,25092.55393000,268172535.38112930
2018-03-02,BTC,10923.36000000,11200.00000000,10770.00000000,11039.00000000,23910.71009000,262936307.00785756
2018-03-03,BTC,11038.99000000,11544.00000000,11015.01000000,11464.48000000,21287.15328000,241749497.90247172
2018-03-04,BTC,11464.47000000,11565.00000000,11050.02000000,11515.00000000,17295.91865300,194849579.12502073
2018-03-05,BTC,11515.00000000,11710.00000000,11415.01000000,11454.00000000,15144.23106300,174866951.39806526
2018-03-06,BTC,11455.00000000,11455.00000000,10555.48000000,10716.48000000,29515.57236300,323842216.64859619
2018-03-07,BTC,10716.48000000,10899.00000000,9389.31000000,9910.00000000,50647.67108000,514808033.48792086
2018-03-08,BTC,9910.00000000,10099.00000000,9060.00000000,9271.64000000,41109.47322600,394641280.63843673
2018-03-09,BTC,9267.07000000,9410.00000000,8329.00000000,9227.00000000,64112.29140700,567082901.13194054
2018-03-10,BTC,9230.00000000,9490.00000000,8667.07000000,8770.22000000,37180.01285700,341210248.41481787
2018-03-11,BTC,8770.22000000,9740.00000000,8450.00000000,9533.57000000,44325.97338600,403491260.92753161
2018-03-12,BTC,9533.57000000,9888.88000000,8780.00000000,9131.34000000,42230.77793000,395562731.86503732
2018-03-13,BTC,9131.34000000,9474.00000000,8823.00000000,9150.00000000,40191.40935800,367353984.71328362
2018-03-14,BTC,9151.92000000,9333.78000000,7900.28000000,8170.00000000,49708.09410800,426058009.75594646
2018-03-15,BTC,8184.01000000,8430.00000000,7650.00000000,8240.98000000,52291.02227700,422130717.47310124
2018-03-16,BTC,8240.98000000,8611.64000000,7900.00000000,8260.00000000,38815.40989300,322355002.16519492
2018-03-17,BTC,8260.00000000,8348.62000000,7721.99000000,7824.80000000,33110.20632900,265973111.61762855
2018-03-18,BTC,7824.01000000,8317.40000000,7322.00000000,8189.99000000,59488.23171100,458311733.51882042
2018-03-19,BTC,8189.00000000,8705.23000000,8088.40000000,8600.00000000,55297.08494200,462654338.98212784
2018-03-20,BTC,8595.01000000,9050.00000000,8280.00000000,8909.98000000,44865.10583500,387879393.47061425
2018-03-21,BTC,8909.96000000,9177.01000000,8750.60000000,8885.00000000,39972.40537100,358157473.36123241
2018-03-22,BTC,8884.82000000,9100.00000000,8465.10000000,8722.90000000,40617.55680900,354804129.34330865
2018-03-23,BTC,8720.00000000,8909.00000000,8269.00000000,8898.03000000,39991.00766600,340755592.54453098
2018-03-24,BTC,8898.04000000,8999.95000000,8491.00000000,8546.86000000,35466.60957200,313254829.90513668
2018-03-25,BTC,8531.25000000,8669.85000000,8365.77000000,8470.15000000,29001.76931600,247023172.30795503
2018-03-26,BTC,8470.14000000,8514.89000000,7831.00000000,8134.23000000,44033.59566000,358429758.87319522
2018-03-27,BTC,8134.22000000,8215.94000000,7730.00000000,7795.51000000,37427.64805000,297609656.44043652
2018-03-28,BTC,7795.51000000,8109.00000000,7728.00000000,7949.30000000,26401.33167000,209186093.18317955
2018-03-29,BTC,7949.30000000,7975.00000000,6941.11000000,7090.14000000,54620.91512500,405591158.63231810
2018-03-30,BTC,7090.16000000,7292.43000000,6600.10000000,6840.23000000,65306.03197600,450352009.17099798
2018-03-31,BTC,6840.24000000,7223.36000000,6777.00000000,6923.91000000,36868.53908700,258341534.47236215
2018-04-01,BTC,6922.00000000,7049.98000000,6430.00000000,6813.01000000,44071.43046300,297470498.81956284
2018-04-02,BTC,6813.01000000,7125.00000000,6765.00000000,7056.00000000,32123.56007200,224322159.41331607
2018-04-03,BTC,7063.97000000,7520.00000000,7011.01000000,7405.21000000,37787.33181100,277080072.76171274
2018-04-04,BTC,7405.21000000,7427.52000000,6707.00000000,6796.10000000,42227.18380400,297443582.74612247
2018-04-05,BTC,6796.10000000,6902.00000000,6566.69000000,6770.76000000,39029.73146000,263446941.13212420
2018-04-06,BTC,6770.00000000,6850.00000000,6500.00000000,6601.39000000,27455.01192000,182139799.80865908
